-0.486469194212005+0.152057459959326i
1.486469194212-0.152057459959326i
-0.199177135658965+0.74147262350043i
-0.0110747516104962-0.800586219979694i
0.764345054464954+0.28879144368211i
0.996832598333949-0.552041647624261i
-1.2101101200313+0.00463121336329287i
-1.34081564549814+0.317732587058122i
