-0.856467478541108+0.420795750046808i
-0.143532521458892-0.420795750046808i
-0.486469194212005+0.152057459959326i
1.486469194212-0.152057459959326i
0.0783994280722362+0.65857548019008i
0.408804056876898-0.609420698930933i
-0.116567911516692+0.842192278050192i
0.0498402913611883-0.867043276901528i
0.830633108197215+0.326372903210512i
-0.904272831366457-0.19826730813544i
1.03368608550378-0.564505652764377i
-1.12757519278554+0.403263881978601i
1.23723348704108+0.0106580138214591i
1.35479922320547-0.319053051535911i
-1.39569975521201+0.103654810104409i
-1.44927998937717+0.213572620912937i
