-0.486469194212005+0.152057459959326i
1.486469194212-0.152057459959326i
0.506807081162103+0.240290850059014i
-0.20674737887665-0.577723654138402i
0.169290752439142+0.622226220645769i
-0.205404142416005+0.664134377161516i
-0.500886275106034+0.543562208696739i
-0.00827687865951418-0.768093170529988i
-0.74457281413368-0.244525700005036i
0.476085032073216-0.632840209930497i
0.159646955964674-0.78110371352534i
-0.0279710414732896+0.828791976389002i
-0.0926430238888398+0.873897177139066i
0.0713688893632875-0.884235800816722i
0.849401206308965+0.337824559746572i
-0.873829773540721-0.302571503283963i
0.947729102705553+0.169999116691619i
0.866047865351626-0.506740844965904i
-1.09888360920606+0.027168095620302i
-0.991020141878663+0.53888570241631i
-1.05850611079771+0.510674290160972i
1.04514868431254-0.566539392237605i
1.15698031512811-0.403135730890635i
1.24484216619529+0.0151925122612845i
-1.28463586073429+0.0505983396859533i
-1.28989861189447+0.312714827943356i
1.35896887271581-0.318822384248539i
1.39828960981939-0.101841380261526i
-1.38611376096569+0.253635650511387i
-1.45511354633636+0.138079045883832i
1.4506758694453-0.213287612099441i
-1.47677943307704+0.173786145920907i
