-0.143532521458892-0.420795750046808i
-0.486469194212005+0.152057459959326i
0.19690999933366+0.519144372325723i
0.534817810292668+0.292137108702484i
-0.579396547358136-0.263338123856062i
-0.0881972532880353-0.639019843890854i
-0.212171057577713-0.61309984136414i
0.198857429189174+0.624745183884997i
0.0206134559398571+0.694903172840414i
0.340911594037577-0.608451621856939i
-0.433646608385502+0.605154399499943i
0.59021469483693-0.477231530139813i
-0.199177135658965+0.74147262350043i
-0.499314000074803+0.612480257562987i
0.19201804894381-0.771564610257004i
-0.0110747516104962-0.800586219979694i
0.494110203409486-0.63893389032857i
-0.00365662946996451+0.813776524370598i
0.764345054464954+0.28879144368211i
-0.115144748327917+0.814715482973613i
0.0489191720311709-0.854918139824361i
0.103281516992704-0.852624091439401i
-0.0631766039356114+0.87273290477016i
-0.825817595233723-0.311639934741242i
-0.08568849101668+0.884835543529826i
0.0789644317503671-0.888977869477014i
-0.878162466269888-0.22484630578543i
0.855129419179662+0.341957328570725i
-0.864091623097038-0.331407509030927i
0.883660166489924+0.290709338190168i
-0.856467478541108+0.420795750046808i
-0.953992661191098-0.114856424603997i
0.962958775038223+0.168618424953917i
0.872660329392645-0.523170247695137i
-0.930737331479887+0.504449436017463i
1.11122919652364-0.00353792508427336i
0.996832598333949-0.552041647624261i
-1.03087485780709+0.560164083485915i
-1.10056760539874+0.412719590055445i
1.06917562078368-0.501117210973991i
-1.05076226764377+0.548470442331377i
1.04890208449553-0.566772574414729i
-1.2101101200313+0.00463121336329287i
-1.18246550505789+0.328648711871626i
1.16472199455543-0.403072104209278i
1.24716172546028+0.0168211258067754i
-1.25844101668085+0.00369133780871852i
1.29056176883633-0.0509009247827581i
1.29377920776316-0.318126247027238i
-1.35050300512943+0.112379581508293i
-1.34081564549814+0.317732587058122i
-1.36221886067761+0.294048641558042i
1.36029633261992-0.318596968039063i
1.39907242271917-0.101202364364688i
1.38880954085958-0.253120418431935i
-1.41630076955055+0.123879380823225i
-1.42849194040853+0.216356224890727i
1.45535948595633-0.137836173205363i
1.45111248722772-0.213145766949074i
-1.45767143978372+0.18972739786752i
-1.47559142160101+0.148359554954011i
1.47691966272479-0.173721624777602i
-1.48404627093823+0.159604735396191i
1.486469194212-0.152057459959326i
